24078828,CUPCAKEFORALI,,1111018500,홍지동,서울특별시 종로구 홍지문길 7,1
11796335,CU대학로광장점,대학로광장점,1111017200,명륜4가,서울특별시 종로구 대학로 121,1
12460262,CU동묘역점,동묘역점,1111017500,숭인동,서울특별시 종로구 종로 351,1
12075676,CU부암럭키점,부암럭키점,1111018400,부암동,서울특별시 종로구 백석동길 15,1
9181553,CU성균관대학교점,성균관대학교점,1111017300,명륜3가,서울특별시 종로구 성균관로 25-1,1
23218223,CU원남사거리점,원남사거리점,1111015900,원남동,서울특별시 종로구 율곡로 174,1
28522643,CU종로관훈점,종로관훈점,1111012800,관훈동,서울특별시 종로구 인사동7길 37,1
11994211,CU종로국악당점,종로국악당점,1111013000,와룡동,서울특별시 종로구 율곡로10길 16,1
28365248,CU종로대로점서미혜,,1111015600,종로3가,서울특별시 종로구 종로 112,1
12516622,CU종로배화점,종로배화점,1111011300,필운동,서울특별시 종로구 필운대로1길 36,1
20617001,CU종로사직공원점,종로사직공원점,1111011300,필운동,서울특별시 종로구 사직로 95,1
11927988,CU종로옥인점,종로옥인점,1111011100,옥인동,서울특별시 종로구 자하문로17길 40,1
12516448,CU종로크라운호텔점,종로크라운호텔점,1111013700,낙원동,서울특별시 종로구 삼일대로30길 9,1
12668397,CU창신쌍용,,1111017400,창신동,서울특별시 종로구 낙산길 198,1
9031289,CU평창북악점,평창북악점,1111018300,평창동,서울특별시 종로구 평창44길 17,1
12515972,CU포레스트힐점,포레스트힐점,1111016200,효제동,서울특별시 종로구 대학로 33,1
20567879,CU홍대대학로점,홍대대학로점,1111016600,연건동,서울특별시 종로구 대학로 57,1
24063021,EVERESTCURRYWORLD,,1111017400,창신동,서울특별시 종로구 종로 305,2
12481790,GS,상명사랑점,1111018500,홍지동,서울특별시 종로구 세검정로 230,1
22496448,GS25,명륜스타점,1111017200,명륜4가,서울특별시 종로구 대학로11길 23,1
24384843,GS25,동대문종합시장점,1111016400,종로6가,서울특별시 종로구 종로 266,
25399279,gs25,,1111013500,관철동,서울특별시 종로구 종로14길 13,1
22498269,GS25,종로숭인점,1111017500,숭인동,서울특별시 종로구 종로 359,7
3672758,GS25,포스탈광화문점,1111012300,서린동,서울특별시 종로구 종로 6,1
24890491,GS25,종로이비스점,1111013300,익선동,서울특별시 종로구 삼일대로30길 32,1
20008562,GS25,독립문점,1111018700,무악동,서울특별시 종로구 통일로 228-1,
24745230,GS25,종로행촌점,1111018100,행촌동,서울특별시 종로구 통일로12길 50-1,
22756844,GS25,,1111013700,낙원동,서울특별시 종로구 수표로 123-1,1
24899036,GS25,숭인행운점,1111017500,숭인동,서울특별시 종로구 난계로29가길 17,1
22690599,GS25,서울극장점,1111015500,관수동,서울특별시 종로구 돈화문로 11-1,1
21763723,GS25,종로누하점,1111011000,누하동,서울특별시 종로구 필운대로 39,
23476397,GS25,국일관점,1111015500,관수동,서울특별시 종로구 수표로 96,1
19981788,GS25,종로금호점,1111012000,신문로1가,서울특별시 종로구 새문안로 85,1
26003720,GS25,청진본점,1111012200,청진동,서울특별시 종로구 종로3길 38,1
9243878,GS25,종로김영점,1111016400,종로6가,서울특별시 종로구 율곡로 280,
26001743,GS25,숭인마사회점,1111017500,숭인동,서울특별시 종로구 난계로29길 67,
22523942,GS25,명륜아남점,1111017000,명륜1가,서울특별시 종로구 혜화로 9,1
23004699,GS25,종로도렴점,1111011600,도렴동,서울특별시 종로구 새문안로5길 31,
22504558,GS25,종로방통대점,1111016800,동숭동,서울특별시 종로구 이화장길 99,1
22508718,GS25,종로로얄점,1111012400,수송동,서울특별시 종로구 율곡로2길 7,
20286196,GS25,상명대점,1111018500,홍지동,서울특별시 종로구 홍지문2길 16,
24442508,GS25,종로드림점,1111018700,무악동,서울특별시 종로구 통일로16길 5,1
22566172,GS25,창신점,1111017400,창신동,서울특별시 종로구 지봉로 43,
10948007,GS25,종로사직점,1111011200,체부동,서울특별시 종로구 자하문로 19-1,1
9174669,GS25,숭인노벨점,1111017500,숭인동,서울특별시 종로구 종로66길 28,
25692321,GS25,창신점,1111017400,창신동,서울특별시 종로구 지봉로5길 7,6
25617103,GS25,종로관철점,1111013500,관철동,서울특별시 종로구 삼일대로17길 8,5
24907836,GS25,그랑서울본점,1111012200,청진동,서울특별시 종로구 종로 33,
25667163,GS25,종로효제점,1111016400,종로6가,서울특별시 종로구 종로39길 40,6
22552893,GS25,숭인동묘점,1111017500,숭인동,서울특별시 종로구 종로56길 12,1
11774248,GS25,종로동묘시장점,1111017500,숭인동,서울특별시 종로구 종로58길 40,1
12086286,GS25,종로효제점,1111016200,효제동,서울특별시 종로구 김상옥로 56,1
11988372,GS25,숭인보문점,1111017500,숭인동,서울특별시 종로구 숭인동길 76,1
12467147,GS25,편의점,1111017500,숭인동,서울특별시 종로구 지봉로 24,2
12463413,GS25,종로광장시장점,1111016300,종로5가,서울특별시 종로구 동호로 401-2,1
12450285,GS25,숭인현대점,1111017500,숭인동,서울특별시 종로구 숭인동길 16,1
12505558,GS25,편의점,1111017500,숭인동,서울특별시 종로구 지봉로 24,-2
12579579,GS25,종로삼환점,1111013200,운니동,서울특별시 종로구 율곡로 88,17
12579397,GS25,청진타워8점,1111012200,청진동,서울특별시 종로구 종로5길 7,
12579785,GS25,종로이마빌딩점,1111012400,수송동,서울특별시 종로구 종로1길 42,15
12579924,GS25,인사동마루점,1111012800,관훈동,서울특별시 종로구 인사동길 35-4,
12580231,GS25,혜화경찰서점,1111015700,인의동,서울특별시 종로구 창경궁로 112-11,5
12496081,GS25,시94빌딩점,1111012700,공평동,서울특별시 종로구 삼봉로 94,
12641839,GS25,평창파크팰리스점,1111018300,평창동,서울특별시 종로구 평창문화로 87,5
16083232,GS25,부암대로점,1111018400,부암동,서울특별시 종로구 자하문로 238,
16207807,GS25,평창문화로점,1111018300,평창동,서울특별시 종로구 평창문화로 154,3
16309909,GS25,종로장사동점,1111015400,장사동,서울특별시 종로구 종로28가길 24,3
16308050,GS25,종로누상점,1111010900,누상동,서울특별시 종로구 필운대로5나길 45-2,
16308065,GS25,종로영풍점,1111012300,서린동,서울특별시 종로구 청계천로 41,23
16309756,GS25,계동중앙점,1111014800,계동,서울특별시 종로구 계동길 61,
16309755,GS25,소격동점,1111014200,소격동,서울특별시 종로구 율곡로3길 75,
16230072,GS25,경희궁자이점,1111018000,교북동,서울특별시 종로구 송월길 155,20
12467066,GS25S6창신역점,S6창신역점,1111017400,창신동,서울특별시 종로구 지봉로 112,1
28384116,GS25그랑서울본,,1111012200,청진동,서울특별시 종로구 종로 33,1
22581141,GS25동숭점,동숭점,1111016900,혜화동,서울특별시 종로구 동숭길 140,1
28214730,GS25명륜스타,,1111017200,명륜4가,서울특별시 종로구 대학로11길 23,1
24584112,GS25방송통신대본점,방송통신대본점,1111016800,동숭동,서울특별시 종로구 대학로 86,1
